0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
4.685714e-02 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
9.371429e-02 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
1.405714e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
1.874286e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
2.342857e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
2.811429e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
3.280000e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
3.748571e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
4.217143e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
4.685714e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
5.154286e-01 1.600000e+03 -3.199998e+03 1.551795e-03 4.817106e-02 6.666667e-01
5.622857e-01 1.599997e+03 -3.199989e+03 9.945406e-03 2.829994e-01 6.666667e-01
6.091429e-01 1.599994e+03 -3.199977e+03 1.898793e-02 4.987448e-01 6.666667e-01
6.560000e-01 1.599984e+03 -3.199937e+03 4.900969e-02 1.195358e+00 6.666666e-01
7.028571e-01 1.599963e+03 -3.199854e+03 1.045169e-01 2.379246e+00 6.666666e-01
7.497143e-01 1.599917e+03 -3.199668e+03 2.169863e-01 4.591900e+00 6.666666e-01
7.965714e-01 1.599863e+03 -3.199458e+03 3.597172e-01 7.045577e+00 6.666665e-01
8.434286e-01 1.599745e+03 -3.198992e+03 6.123494e-01 1.110409e+01 6.666664e-01
8.902857e-01 1.599594e+03 -3.198394e+03 9.668402e-01 1.669582e+01 6.666662e-01
9.371429e-01 1.599353e+03 -3.197448e+03 1.416122e+00 2.298657e+01 6.666660e-01
9.840000e-01 1.599036e+03 -3.196203e+03 2.084063e+00 3.213249e+01 6.666656e-01
1.030857e+00 1.598490e+03 -3.194097e+03 3.241873e+00 4.633799e+01 6.666649e-01
1.077714e+00 1.597878e+03 -3.191721e+03 4.258284e+00 5.775369e+01 6.666643e-01
1.124571e+00 1.597041e+03 -3.188566e+03 6.001177e+00 7.554467e+01 6.666631e-01
1.171429e+00 1.595936e+03 -3.184370e+03 8.313186e+00 9.869098e+01 6.666616e-01
1.218286e+00 1.594682e+03 -3.179690e+03 1.026869e+01 1.134492e+02 6.666601e-01
1.265143e+00 1.593045e+03 -3.173592e+03 1.378596e+01 1.434492e+02 6.666575e-01
1.312000e+00 1.591144e+03 -3.166684e+03 1.697313e+01 1.648367e+02 6.666550e-01
1.358857e+00 1.588737e+03 -3.157972e+03 2.178804e+01 1.984368e+02 6.666511e-01
1.405714e+00 1.585929e+03 -3.147867e+03 2.703666e+01 2.313638e+02 6.666466e-01
1.452571e+00 1.582685e+03 -3.136496e+03 3.331487e+01 2.650658e+02 6.666410e-01
1.499429e+00 1.578541e+03 -3.122248e+03 4.333058e+01 3.167224e+02 6.666320e-01
1.546286e+00 1.573873e+03 -3.106488e+03 5.246005e+01 3.524464e+02 6.666232e-01
1.593143e+00 1.568518e+03 -3.088833e+03 6.567665e+01 4.059680e+02 6.666102e-01
1.640000e+00 1.561531e+03 -3.066815e+03 9.765757e+01 4.873746e+02 6.665800e-01
1.686857e+00 1.553987e+03 -3.043008e+03 1.032179e+02 5.293170e+02 6.665710e-01
1.733714e+00 1.545595e+03 -3.017359e+03 1.307641e+02 5.997866e+02 6.665408e-01
1.780571e+00 1.535069e+03 -2.987585e+03 1.722728e+02 6.542767e+02 6.664946e-01
1.827429e+00 1.523348e+03 -2.954072e+03 2.106837e+02 7.608962e+02 6.664471e-01
1.874286e+00 1.511004e+03 -2.919371e+03 2.551645e+02 8.172379e+02 6.663900e-01
1.921143e+00 1.492004e+03 -2.872095e+03 3.430718e+02 9.219240e+02 6.662762e-01
