0.000000e+00 1.000000e+02 -2.000000e+02     -nan     -nan 6.666667e-01
4.685714e-02 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
9.371429e-02 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
1.405714e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
1.874286e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
2.342857e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
2.811429e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
3.280000e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
3.748571e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
4.217143e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
4.685714e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
5.154286e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
5.622857e-01 1.000000e+02 -2.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
6.091429e-01 9.999980e+01 -1.999992e+02 6.565947e-04 1.724639e-02 6.666666e-01
6.560000e-01 9.999840e+01 -1.999936e+02 4.874146e-03 1.188816e-01 6.666662e-01
7.028571e-01 9.999880e+01 -1.999952e+02 3.412585e-03 7.768487e-02 6.666664e-01
7.497143e-01 9.999680e+01 -1.999872e+02 8.522927e-03 1.818917e-01 6.666658e-01
7.965714e-01 9.999280e+01 -1.999724e+02 2.102531e-02 3.694698e-01 6.666645e-01
8.434286e-01 9.998400e+01 -1.999364e+02 3.858537e-02 7.162992e-01 6.666624e-01
8.902857e-01 9.997200e+01 -1.998908e+02 6.831065e-02 1.129530e+00 6.666587e-01
9.371429e-01 9.996460e+01 -1.998584e+02 7.506523e-02 1.281601e+00 6.666575e-01
9.840000e-01 9.992620e+01 -1.997104e+02 1.607252e-01 2.454859e+00 6.666460e-01
1.030857e+00 9.991380e+01 -1.996644e+02 1.895215e-01 2.653864e+00 6.666412e-01
1.077714e+00 9.985780e+01 -1.994524e+02 2.993179e-01 3.903451e+00 6.666246e-01
1.124571e+00 9.981860e+01 -1.993004e+02 3.637777e-01 4.578745e+00 6.666133e-01
1.171429e+00 9.973720e+01 -1.990060e+02 5.884577e-01 6.290979e+00 6.665778e-01
1.218286e+00 9.969180e+01 -1.988116e+02 5.855874e-01 6.798254e+00 6.665735e-01
1.265143e+00 9.955420e+01 -1.983092e+02 9.118831e-01 9.490768e+00 6.665167e-01
1.312000e+00 9.941540e+01 -1.978004e+02 1.151405e+00 1.124991e+01 6.664697e-01
1.358857e+00 9.929500e+01 -1.973672e+02 1.361861e+00 1.256759e+01 6.664250e-01
1.405714e+00 9.915780e+01 -1.968712e+02 1.567814e+00 1.355575e+01 6.663781e-01
1.452571e+00 9.890180e+01 -1.960136e+02 2.287775e+00 1.745765e+01 6.662350e-01
1.499429e+00 9.863500e+01 -1.950736e+02 2.759701e+00 1.975664e+01 6.661260e-01
1.546286e+00 9.834740e+01 -1.941128e+02 3.395306e+00 2.265031e+01 6.659787e-01
1.593143e+00 9.794820e+01 -1.927612e+02 4.257821e+00 2.613785e+01 6.657776e-01
1.640000e+00 9.759640e+01 -1.915980e+02 4.984090e+00 2.944557e+01 6.655870e-01
