0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
4.685714e-02 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
9.371429e-02 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
1.405714e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
1.874286e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
2.342857e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
2.811429e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
3.280000e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
3.748571e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
4.217143e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
4.685714e-01 1.600000e+03 -3.200000e+03 0.000000e+00 0.000000e+00 6.666667e-01
5.154286e-01 1.599999e+03 -3.199998e+03 2.327462e-03 7.224934e-02 6.666667e-01
5.622857e-01 1.599998e+03 -3.199991e+03 7.816595e-03 2.224235e-01 6.666667e-01
6.091429e-01 1.599989e+03 -3.199956e+03 3.723100e-02 9.779250e-01 6.666667e-01
6.560000e-01 1.599980e+03 -3.199919e+03 6.096335e-02 1.486911e+00 6.666666e-01
7.028571e-01 1.599968e+03 -3.199871e+03 9.015084e-02 2.052214e+00 6.666666e-01
7.497143e-01 1.599925e+03 -3.199700e+03 2.000429e-01 4.249708e+00 6.666666e-01
7.965714e-01 1.599856e+03 -3.199429e+03 3.688044e-01 7.262319e+00 6.666665e-01
8.434286e-01 1.599765e+03 -3.199068e+03 5.721727e-01 1.041288e+01 6.666664e-01
8.902857e-01 1.599587e+03 -3.198366e+03 9.623834e-01 1.669443e+01 6.666662e-01
9.371429e-01 1.599344e+03 -3.197412e+03 1.491557e+00 2.424114e+01 6.666659e-01
9.840000e-01 1.598998e+03 -3.196053e+03 2.108124e+00 3.240177e+01 6.666656e-01
1.030857e+00 1.598471e+03 -3.194032e+03 3.291806e+00 4.697824e+01 6.666649e-01
1.077714e+00 1.597880e+03 -3.191764e+03 4.462689e+00 5.981681e+01 6.666642e-01
1.124571e+00 1.597034e+03 -3.188531e+03 6.001590e+00 7.543605e+01 6.666631e-01
1.171429e+00 1.596018e+03 -3.184684e+03 8.033662e+00 9.510634e+01 6.666617e-01
1.218286e+00 1.594732e+03 -3.179876e+03 1.027565e+01 1.136084e+02 6.666601e-01
1.265143e+00 1.593186e+03 -3.174110e+03 1.331698e+01 1.387656e+02 6.666578e-01
1.312000e+00 1.591113e+03 -3.166502e+03 1.677990e+01 1.647980e+02 6.666551e-01
1.358857e+00 1.588720e+03 -3.157875e+03 2.192767e+01 2.005794e+02 6.666510e-01
1.405714e+00 1.585967e+03 -3.148082e+03 2.708835e+01 2.328956e+02 6.666465e-01
1.452571e+00 1.582548e+03 -3.135999e+03 3.452755e+01 2.763968e+02 6.666400e-01
1.499429e+00 1.578177e+03 -3.121122e+03 4.449384e+01 3.197314e+02 6.666311e-01
1.546286e+00 1.573808e+03 -3.106342e+03 5.461610e+01 3.666140e+02 6.666214e-01
1.593143e+00 1.567979e+03 -3.087562e+03 6.963867e+01 4.111409e+02 6.666068e-01
1.640000e+00 1.561942e+03 -3.067791e+03 8.503086e+01 4.752443e+02 6.665908e-01
1.686857e+00 1.554272e+03 -3.043546e+03 1.043905e+02 5.320921e+02 6.665699e-01
1.733714e+00 1.544971e+03 -3.016161e+03 1.469663e+02 6.122457e+02 6.665259e-01
1.780571e+00 1.535624e+03 -2.987954e+03 1.591655e+02 6.448654e+02 6.665075e-01
1.827429e+00 1.523506e+03 -2.954110e+03 2.197464e+02 7.674973e+02 6.664382e-01
1.874286e+00 1.508156e+03 -2.914568e+03 3.150628e+02 8.714389e+02 6.663259e-01
1.921143e+00 1.493753e+03 -2.874972e+03 3.379362e+02 9.185845e+02 6.662833e-01
