0.000000e+00 4.000000e+02 -8.000000e+02     -nan     -nan 6.666667e-01
4.685714e-02 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
9.371429e-02 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
1.405714e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
1.874286e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
2.342857e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
2.811429e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
3.280000e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
3.748571e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
4.217143e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
4.685714e-01 4.000000e+02 -8.000000e+02 0.000000e+00 0.000000e+00 6.666667e-01
5.154286e-01 3.999998e+02 -7.999992e+02 7.759756e-04 2.408794e-02 6.666667e-01
5.622857e-01 3.999996e+02 -7.999984e+02 1.422480e-03 4.047706e-02 6.666667e-01
6.091429e-01 3.999978e+02 -7.999912e+02 7.215319e-03 1.895206e-01 6.666666e-01
6.560000e-01 3.999956e+02 -7.999824e+02 1.338512e-02 3.264664e-01 6.666666e-01
7.028571e-01 3.999916e+02 -7.999664e+02 2.607847e-02 5.936563e-01 6.666665e-01
7.497143e-01 3.999804e+02 -7.999232e+02 6.031076e-02 1.185084e+00 6.666663e-01
7.965714e-01 3.999612e+02 -7.998460e+02 1.015534e-01 1.987442e+00 6.666660e-01
8.434286e-01 3.999384e+02 -7.997564e+02 1.491596e-01 2.721304e+00 6.666656e-01
8.902857e-01 3.998912e+02 -7.995732e+02 2.562802e-01 4.310124e+00 6.666648e-01
9.371429e-01 3.998322e+02 -7.993364e+02 3.681863e-01 6.048067e+00 6.666638e-01
9.840000e-01 3.997562e+02 -7.990384e+02 5.253674e-01 8.126906e+00 6.666624e-01
1.030857e+00 3.996180e+02 -7.984960e+02 7.920360e-01 1.165105e+01 6.666599e-01
1.077714e+00 3.994786e+02 -7.979672e+02 1.099124e+00 1.485476e+01 6.666568e-01
1.124571e+00 3.992798e+02 -7.972124e+02 1.454165e+00 1.822630e+01 6.666531e-01
