0.000000e+00 1.000000e+02 -2.000000e+02     -nan     -nan 6.666667e-01
7.750000e-01 9.999324e+01 -1.999732e+02 1.810878e-02 3.608306e-01 6.666648e-01
1.550000e+00 9.831828e+01 -1.940201e+02 3.625895e+00 2.326040e+01 6.659391e-01
2.168728e+00 8.310074e+01 -1.592990e+02 1.117239e+02 1.086952e+02 6.381544e-01
2.174284e+00 8.225942e+01 -1.581990e+02 1.256639e+02 1.125646e+02 6.350974e-01
2.179839e+00 8.243334e+01 -1.579625e+02 1.113363e+02 1.091765e+02 6.368240e-01
2.185395e+00 8.161390e+01 -1.570012e+02 1.298863e+02 1.130867e+02 6.332930e-01
2.190951e+00 8.136896e+01 -1.565995e+02 1.310746e+02 1.151096e+02 6.324299e-01
2.196506e+00 8.186790e+01 -1.569224e+02 1.174879e+02 1.095932e+02 6.352109e-01
2.202062e+00 8.097818e+01 -1.558105e+02 1.304971e+02 1.137413e+02 6.317342e-01
2.207617e+00 7.995444e+01 -1.544232e+02 1.430928e+02 1.181871e+02 6.277133e-01
2.213173e+00 8.014114e+01 -1.545540e+02 1.384944e+02 1.152455e+02 6.288043e-01
2.218728e+00 8.026980e+01 -1.543136e+02 1.319202e+02 1.149640e+02 6.301589e-01
2.224284e+00 7.896496e+01 -1.529802e+02 1.548084e+02 1.210708e+02 6.239793e-01
2.229839e+00 7.932644e+01 -1.528261e+02 1.366470e+02 1.162146e+02 6.271728e-01
2.235395e+00 7.813944e+01 -1.514950e+02 1.579592e+02 1.217676e+02 6.217526e-01
2.240951e+00 7.774740e+01 -1.509564e+02 1.656248e+02 1.231493e+02 6.199902e-01
2.246506e+00 7.715226e+01 -1.499268e+02 1.654611e+02 1.236560e+02 6.182008e-01
2.252062e+00 7.681398e+01 -1.497052e+02 1.764070e+02 1.264534e+02 6.158914e-01
2.257617e+00 7.724264e+01 -1.496908e+02 1.590395e+02 1.208149e+02 6.193143e-01
2.263173e+00 7.633502e+01 -1.488074e+02 1.765670e+02 1.252217e+02 6.148239e-01
2.268728e+00 7.588364e+01 -1.480249e+02 1.783211e+02 1.261591e+02 6.131440e-01
2.274284e+00 7.540320e+01 -1.471861e+02 1.772837e+02 1.257024e+02 6.119088e-01
2.279839e+00 7.472100e+01 -1.462966e+02 1.842262e+02 1.264309e+02 6.089611e-01
2.285395e+00 7.372312e+01 -1.453990e+02 2.048140e+02 1.318900e+02 6.027547e-01
2.290951e+00 7.362668e+01 -1.447688e+02 1.953687e+02 1.292045e+02 6.039647e-01
2.296506e+00 7.365912e+01 -1.446579e+02 1.926719e+02 1.284149e+02 6.045266e-01
2.302062e+00 7.314210e+01 -1.437692e+02 1.918631e+02 1.268223e+02 6.031033e-01
2.307617e+00 7.242756e+01 -1.427576e+02 1.986396e+02 1.293171e+02 5.996969e-01
2.313173e+00 7.161710e+01 -1.420503e+02 2.112589e+02 1.301808e+02 5.952830e-01
2.318728e+00 7.073394e+01 -1.408288e+02 2.177922e+02 1.325104e+02 5.907400e-01
2.324284e+00 7.053382e+01 -1.403741e+02 2.166866e+02 1.312892e+02 5.907831e-01
2.329839e+00 7.079380e+01 -1.404278e+02 2.095439e+02 1.286694e+02 5.924707e-01
2.335395e+00 6.943606e+01 -1.388809e+02 2.221094e+02 1.314547e+02 5.852735e-01
2.340951e+00 6.886460e+01 -1.381908e+02 2.283163e+02 1.319911e+02 5.822472e-01
2.346506e+00 6.818276e+01 -1.372388e+02 2.318316e+02 1.314809e+02 5.792244e-01
2.352062e+00 6.879974e+01 -1.374690e+02 2.176296e+02 1.282736e+02 5.841575e-01
2.357617e+00 6.734768e+01 -1.360514e+02 2.311903e+02 1.299221e+02 5.756283e-01
2.363173e+00 6.643398e+01 -1.350129e+02 2.397993e+02 1.317127e+02 5.698679e-01
2.525000e+00 5.209618e+01 -1.159750e+02 2.590234e+02 1.090669e+02 4.796000e-01
