0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
7.750000e-01 1.599892e+03 -3.199570e+03 2.828370e-01 5.735877e+00 6.666666e-01
1.550000e+00 1.573412e+03 -3.104973e+03 5.464293e+01 3.642104e+02 6.666212e-01
2.168728e+00 1.310655e+03 -2.540336e+03 3.999829e+03 1.940833e+03 6.608079e-01
2.174284e+00 1.301055e+03 -2.526605e+03 4.099896e+03 2.018029e+03 6.605279e-01
2.179839e+00 1.292704e+03 -2.517210e+03 4.925267e+03 2.117770e+03 6.593565e-01
2.185395e+00 1.286841e+03 -2.507163e+03 4.719376e+03 2.045089e+03 6.596237e-01
2.190951e+00 1.275093e+03 -2.495046e+03 5.170271e+03 2.175189e+03 6.585635e-01
2.196506e+00 1.264104e+03 -2.482064e+03 6.055792e+03 2.266632e+03 6.572756e-01
2.202062e+00 1.256152e+03 -2.471421e+03 6.100343e+03 2.224089e+03 6.570192e-01
2.207617e+00 1.241393e+03 -2.457876e+03 7.796183e+03 2.294050e+03 6.551569e-01
2.213173e+00 1.213078e+03 -2.439195e+03 1.382082e+04 2.527865e+03 6.490058e-01
2.218728e+00 1.196056e+03 -2.426259e+03 1.667309e+04 2.624053e+03 6.461327e-01
2.224284e+00 1.203112e+03 -2.418530e+03 1.033120e+04 2.520668e+03 6.506281e-01
2.229839e+00 1.175556e+03 -2.402448e+03 1.671662e+04 2.651222e+03 6.445786e-01
2.235395e+00 1.134774e+03 -2.379004e+03 2.298761e+04 2.938265e+03 6.342465e-01
2.240951e+00 1.134184e+03 -2.370206e+03 2.168231e+04 2.881953e+03 6.356204e-01
2.246506e+00 1.139921e+03 -2.362218e+03 1.668668e+04 2.761598e+03 6.405500e-01
2.252062e+00 1.102002e+03 -2.339477e+03 2.038400e+04 2.860987e+03 6.325464e-01
2.257617e+00 1.082612e+03 -2.324771e+03 2.382590e+04 2.930512e+03 6.286653e-01
2.263173e+00 1.027000e+03 -2.300152e+03 3.425350e+04 3.162826e+03 6.101925e-01
2.268728e+00 1.029232e+03 -2.291016e+03 2.984249e+04 3.139917e+03 6.149770e-01
2.274284e+00 1.017306e+03 -2.280011e+03 2.958623e+04 3.065256e+03 6.130294e-01
2.279839e+00 9.633683e+02 -2.253186e+03 3.623776e+04 3.127464e+03 5.973891e-01
2.285395e+00 9.124635e+02 -2.231553e+03 4.456713e+04 3.285755e+03 5.751699e-01
2.290951e+00 8.771745e+02 -2.213745e+03 4.688989e+04 3.238266e+03 5.635655e-01
2.296506e+00 8.526578e+02 -2.198152e+03 4.785128e+04 3.279637e+03 5.517366e-01
2.302062e+00 8.599703e+02 -2.187989e+03 4.477697e+04 3.208676e+03 5.615361e-01
2.307617e+00 8.289084e+02 -2.173115e+03 4.507810e+04 3.107563e+03 5.495941e-01
2.313173e+00 7.639388e+02 -2.143703e+03 4.808290e+04 3.036750e+03 5.197464e-01
2.318728e+00 8.003175e+02 -2.147313e+03 4.390698e+04 3.065293e+03 5.418667e-01
2.324284e+00 7.244254e+02 -2.118325e+03 4.843101e+04 2.962003e+03 4.989394e-01
2.329839e+00 7.039707e+02 -2.100286e+03 4.474526e+04 2.908391e+03 4.941451e-01
2.335395e+00 6.745191e+02 -2.086665e+03 4.489712e+04 2.781043e+03 4.796360e-01
2.340951e+00 6.185078e+02 -2.065314e+03 4.729519e+04 2.740332e+03 4.320417e-01
2.346506e+00 6.074776e+02 -2.052171e+03 4.576612e+04 2.769567e+03 4.237898e-01
2.352062e+00 5.666798e+02 -2.038562e+03 4.538652e+04 2.585598e+03 3.827030e-01
2.357617e+00 5.392486e+02 -2.019410e+03 4.162435e+04 2.426700e+03 3.777135e-01
2.363173e+00 5.392029e+02 -2.013502e+03 4.235114e+04 2.435305e+03 3.766811e-01
2.525000e+00 2.395353e+02 -1.736327e+03 1.182165e+04 1.330449e+03 8.584578e-02
