0.000000e+00 4.000000e+02 -8.000000e+02     -nan     -nan 6.666667e-01
7.750000e-01 3.999728e+02 -7.998922e+02 7.305827e-02 1.458313e+00 6.666662e-01
1.550000e+00 3.933718e+02 -7.763348e+02 1.402364e+01 9.100317e+01 6.664827e-01
2.168728e+00 3.268932e+02 -6.341567e+02 9.448208e+02 4.831796e+02 6.500378e-01
2.174284e+00 3.256212e+02 -6.317927e+02 9.160277e+02 4.959656e+02 6.495072e-01
2.179839e+00 3.250136e+02 -6.305612e+02 9.148440e+02 4.961622e+02 6.493485e-01
2.185395e+00 3.225322e+02 -6.274894e+02 9.895648e+02 5.076955e+02 6.478345e-01
2.190951e+00 3.203126e+02 -6.241742e+02 1.025874e+03 5.159255e+02 6.469236e-01
2.196506e+00 3.200694e+02 -6.225731e+02 1.003471e+03 5.107774e+02 6.474737e-01
2.202062e+00 3.147033e+02 -6.182466e+02 1.329707e+03 5.417330e+02 6.423310e-01
2.207617e+00 3.096553e+02 -6.132830e+02 1.448661e+03 5.584946e+02 6.386103e-01
2.213173e+00 3.105968e+02 -6.123136e+02 1.348416e+03 5.621448e+02 6.400652e-01
2.218728e+00 3.046017e+02 -6.074370e+02 1.677081e+03 5.893791e+02 6.341935e-01
2.224284e+00 3.070831e+02 -6.080832e+02 1.484218e+03 5.617273e+02 6.376567e-01
2.229839e+00 3.035918e+02 -6.036212e+02 1.492873e+03 5.726359e+02 6.358353e-01
2.235395e+00 2.981506e+02 -5.990159e+02 1.798259e+03 5.927241e+02 6.304849e-01
2.240951e+00 2.930442e+02 -5.948332e+02 2.035626e+03 6.079071e+02 6.255503e-01
2.246506e+00 2.923509e+02 -5.929670e+02 1.964709e+03 6.077675e+02 6.254952e-01
2.252062e+00 2.879297e+02 -5.895034e+02 2.224080e+03 6.302446e+02 6.201012e-01
2.257617e+00 2.860206e+02 -5.855159e+02 2.106856e+03 6.253419e+02 6.206197e-01
2.263173e+00 2.869674e+02 -5.854688e+02 2.070888e+03 6.196590e+02 6.217250e-01
2.268728e+00 2.755855e+02 -5.774600e+02 2.554772e+03 6.557140e+02 6.079935e-01
2.274284e+00 2.747891e+02 -5.751811e+02 2.464016e+03 6.446830e+02 6.088470e-01
2.279839e+00 2.703983e+02 -5.712330e+02 2.639417e+03 6.567864e+02 6.039727e-01
2.285395e+00 2.662659e+02 -5.674134e+02 2.705216e+03 6.569520e+02 5.990524e-01
2.290951e+00 2.648144e+02 -5.651109e+02 2.650614e+03 6.471191e+02 5.990691e-01
2.296506e+00 2.609704e+02 -5.618585e+02 2.786266e+03 6.478411e+02 5.946434e-01
2.302062e+00 2.587746e+02 -5.591301e+02 2.878473e+03 6.659513e+02 5.915559e-01
2.307617e+00 2.503320e+02 -5.524980e+02 3.003538e+03 6.611224e+02 5.807240e-01
2.313173e+00 2.486301e+02 -5.505014e+02 3.108248e+03 6.644652e+02 5.786615e-01
2.318728e+00 2.374065e+02 -5.428284e+02 3.299784e+03 6.585709e+02 5.620845e-01
2.324284e+00 2.430894e+02 -5.439456e+02 3.098409e+03 6.584383e+02 5.736868e-01
2.329839e+00 2.335344e+02 -5.397540e+02 3.513809e+03 6.658052e+02 5.541303e-01
2.335395e+00 2.339171e+02 -5.364772e+02 3.235974e+03 6.461142e+02 5.608603e-01
2.340951e+00 2.272043e+02 -5.313981e+02 3.314111e+03 6.400755e+02 5.498235e-01
2.346506e+00 2.152705e+02 -5.253166e+02 3.681693e+03 6.465231e+02 5.249695e-01
2.352062e+00 2.166263e+02 -5.243330e+02 3.574495e+03 6.479461e+02 5.285664e-01
2.357617e+00 2.083730e+02 -5.184464e+02 3.592760e+03 6.185462e+02 5.151055e-01
2.363173e+00 2.062730e+02 -5.166195e+02 3.718504e+03 6.143652e+02 5.109576e-01
2.525000e+00 1.195064e+02 -4.376078e+02 2.371343e+03 3.664999e+02 2.806058e-01
