0.000000e+00 1.000000e+02 -2.000000e+02     -nan     -nan 6.666667e-01
7.750000e-01 9.999520e+01 -1.999812e+02 1.338963e-02 2.578090e-01 6.666653e-01
1.550000e+00 9.840480e+01 -1.942612e+02 3.195959e+00 2.181951e+01 6.660188e-01
2.168728e+00 8.297720e+01 -1.594588e+02 1.200779e+02 1.137203e+02 6.364058e-01
2.174284e+00 8.330600e+01 -1.595000e+02 1.020139e+02 1.050396e+02 6.393943e-01
2.179839e+00 8.353460e+01 -1.593488e+02 9.895839e+01 1.051571e+02 6.402862e-01
2.185395e+00 8.218580e+01 -1.576656e+02 1.137022e+02 1.111389e+02 6.357578e-01
2.190951e+00 8.157760e+01 -1.567728e+02 1.236183e+02 1.144746e+02 6.329552e-01
2.196506e+00 8.187740e+01 -1.575208e+02 1.250953e+02 1.106807e+02 6.341630e-01
2.202062e+00 8.086200e+01 -1.554472e+02 1.289233e+02 1.139104e+02 6.315662e-01
2.207617e+00 7.998380e+01 -1.543744e+02 1.414329e+02 1.166311e+02 6.281212e-01
2.213173e+00 7.748960e+01 -1.518368e+02 1.860794e+02 1.311629e+02 6.161873e-01
2.218728e+00 7.986800e+01 -1.540896e+02 1.411793e+02 1.188697e+02 6.271987e-01
2.224284e+00 8.093860e+01 -1.544124e+02 1.090283e+02 1.109137e+02 6.342837e-01
2.229839e+00 7.703500e+01 -1.505004e+02 1.819756e+02 1.275324e+02 6.162416e-01
2.235395e+00 7.940960e+01 -1.527272e+02 1.352957e+02 1.174087e+02 6.276540e-01
2.240951e+00 7.800740e+01 -1.512988e+02 1.640163e+02 1.265296e+02 6.202325e-01
2.246506e+00 7.740380e+01 -1.501144e+02 1.553663e+02 1.206774e+02 6.193848e-01
2.252062e+00 7.792660e+01 -1.508272e+02 1.529428e+02 1.194235e+02 6.218054e-01
2.257617e+00 7.711840e+01 -1.495608e+02 1.641091e+02 1.263433e+02 6.185186e-01
2.263173e+00 7.643540e+01 -1.485920e+02 1.676632e+02 1.280371e+02 6.152327e-01
2.268728e+00 7.546020e+01 -1.479104e+02 1.909800e+02 1.328272e+02 6.087413e-01
2.274284e+00 7.658620e+01 -1.481756e+02 1.596096e+02 1.215102e+02 6.180395e-01
2.279839e+00 7.602780e+01 -1.483356e+02 1.833959e+02 1.257501e+02 6.133572e-01
2.285395e+00 7.677020e+01 -1.479344e+02 1.492395e+02 1.168000e+02 6.204308e-01
2.290951e+00 7.413940e+01 -1.452316e+02 1.923353e+02 1.257699e+02 6.075660e-01
2.296506e+00 7.365980e+01 -1.445808e+02 1.928512e+02 1.252726e+02 6.056085e-01
2.302062e+00 7.273180e+01 -1.432128e+02 1.927716e+02 1.253116e+02 6.017177e-01
2.307617e+00 7.213860e+01 -1.425792e+02 2.116315e+02 1.326952e+02 5.972953e-01
2.313173e+00 7.320060e+01 -1.433400e+02 1.836068e+02 1.296812e+02 6.034754e-01
2.318728e+00 7.279920e+01 -1.428672e+02 1.866615e+02 1.267310e+02 6.023129e-01
2.324284e+00 6.960280e+01 -1.394620e+02 2.313070e+02 1.326802e+02 5.854809e-01
2.329839e+00 7.095520e+01 -1.408792e+02 2.134511e+02 1.302280e+02 5.921850e-01
2.335395e+00 7.111220e+01 -1.408516e+02 2.052365e+02 1.257459e+02 5.947658e-01
2.340951e+00 6.767860e+01 -1.368516e+02 2.377258e+02 1.290335e+02 5.772500e-01
2.346506e+00 6.704180e+01 -1.362724e+02 2.410739e+02 1.321081e+02 5.719433e-01
2.352062e+00 6.986560e+01 -1.379048e+02 1.936202e+02 1.249022e+02 5.925397e-01
2.357617e+00 6.535420e+01 -1.337540e+02 2.473440e+02 1.326389e+02 5.643814e-01
2.363173e+00 6.706840e+01 -1.355784e+02 2.411267e+02 1.296188e+02 5.742882e-01
2.525000e+00 5.086400e+01 -1.144852e+02 2.574653e+02 1.051216e+02 4.706402e-01
