0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
7.750000e-01 1.599884e+03 -3.199536e+03 2.983884e-01 6.106194e+00 6.666665e-01
1.550000e+00 1.573411e+03 -3.104941e+03 5.391104e+01 3.590922e+02 6.666218e-01
2.168728e+00 1.310114e+03 -2.540148e+03 3.764708e+03 1.873053e+03 6.610263e-01
2.174284e+00 1.306977e+03 -2.532650e+03 3.846536e+03 1.921287e+03 6.608803e-01
2.179839e+00 1.297097e+03 -2.523174e+03 5.634068e+03 2.160846e+03 6.591109e-01
2.185395e+00 1.265457e+03 -2.497435e+03 6.955579e+03 2.250088e+03 6.560858e-01
2.190951e+00 1.274470e+03 -2.495933e+03 5.601796e+03 2.180116e+03 6.581375e-01
2.196506e+00 1.262325e+03 -2.481920e+03 5.579402e+03 2.151832e+03 6.577257e-01
2.202062e+00 1.238708e+03 -2.467881e+03 1.119479e+04 2.520934e+03 6.510303e-01
2.207617e+00 1.250493e+03 -2.465715e+03 8.572146e+03 2.232465e+03 6.546226e-01
2.213173e+00 1.220974e+03 -2.440235e+03 1.002711e+04 2.506446e+03 6.511619e-01
2.218728e+00 1.212934e+03 -2.430548e+03 8.344093e+03 2.499555e+03 6.525399e-01
2.224284e+00 1.159673e+03 -2.403065e+03 2.179592e+04 3.152081e+03 6.352526e-01
2.229839e+00 1.157199e+03 -2.392531e+03 1.431349e+04 2.682928e+03 6.420640e-01
2.235395e+00 1.115120e+03 -2.369641e+03 1.993420e+04 2.912260e+03 6.315007e-01
2.240951e+00 1.200519e+03 -2.396312e+03 6.783799e+03 2.319920e+03 6.545627e-01
2.246506e+00 1.158431e+03 -2.371450e+03 1.201091e+04 2.672833e+03 6.451543e-01
2.252062e+00 1.109069e+03 -2.343890e+03 2.156788e+04 2.811288e+03 6.347520e-01
2.257617e+00 1.045941e+03 -2.316286e+03 2.782779e+04 2.872422e+03 6.190363e-01
2.263173e+00 1.088093e+03 -2.309819e+03 1.439098e+04 2.666063e+03 6.374195e-01
2.268728e+00 1.094055e+03 -2.312300e+03 1.888957e+04 2.824993e+03 6.337568e-01
2.274284e+00 8.877990e+02 -2.255057e+03 7.048554e+04 3.694799e+03 5.482083e-01
2.279839e+00 1.011902e+03 -2.270511e+03 2.895115e+04 2.933561e+03 6.141110e-01
2.285395e+00 8.937310e+02 -2.234096e+03 5.615428e+04 3.339179e+03 5.595161e-01
2.290951e+00 8.679558e+02 -2.206050e+03 4.344410e+04 3.200833e+03 5.603326e-01
2.296506e+00 8.443486e+02 -2.194741e+03 4.300114e+04 3.525329e+03 5.430810e-01
2.302062e+00 9.174556e+02 -2.204532e+03 3.669747e+04 3.056158e+03 5.913277e-01
2.307617e+00 7.716206e+02 -2.154239e+03 5.597667e+04 3.364774e+03 5.124918e-01
2.313173e+00 7.518550e+02 -2.137055e+03 5.147202e+04 3.413446e+03 5.077619e-01
2.318728e+00 7.241172e+02 -2.124002e+03 5.298109e+04 2.966126e+03 4.999224e-01
2.324284e+00 7.849482e+02 -2.140045e+03 4.756151e+04 3.410839e+03 5.167500e-01
2.329839e+00 7.863766e+02 -2.125412e+03 3.882074e+04 2.780703e+03 5.496594e-01
2.335395e+00 7.546440e+02 -2.104408e+03 3.873402e+04 2.909147e+03 5.361735e-01
2.340951e+00 6.827482e+02 -2.085938e+03 4.661379e+04 2.800369e+03 4.842667e-01
2.346506e+00 5.384276e+02 -2.033149e+03 4.172552e+04 2.549142e+03 3.728709e-01
2.352062e+00 5.685624e+02 -2.040866e+03 4.805180e+04 2.836074e+03 3.767239e-01
2.357617e+00 5.711554e+02 -2.033729e+03 5.181381e+04 2.771935e+03 3.700728e-01
2.363173e+00 5.305296e+02 -2.008259e+03 4.035229e+04 2.449051e+03 3.653947e-01
2.525000e+00 2.292856e+02 -1.736848e+03 1.304840e+04 1.434194e+03 -1.616402e-01
