0.000000e+00 4.000000e+02 -8.000000e+02     -nan     -nan 6.666667e-01
7.750000e-01 3.999714e+02 -7.998856e+02 7.275102e-02 1.501957e+00 6.666662e-01
1.550000e+00 3.931966e+02 -7.757808e+02 1.443597e+01 9.626637e+01 6.664762e-01
2.168728e+00 3.305028e+02 -6.370148e+02 6.378673e+02 4.672917e+02 6.534865e-01
2.174284e+00 3.306492e+02 -6.344212e+02 5.319453e+02 4.655721e+02 6.545914e-01
2.179839e+00 3.256252e+02 -6.318856e+02 9.337383e+02 4.621988e+02 6.502988e-01
2.185395e+00 3.170224e+02 -6.259388e+02 1.759526e+03 5.754195e+02 6.396614e-01
2.190951e+00 3.191408e+02 -6.225180e+02 1.103968e+03 5.513797e+02 6.450795e-01
2.196506e+00 3.104210e+02 -6.175292e+02 1.681127e+03 6.047655e+02 6.362462e-01
2.202062e+00 3.039876e+02 -6.096784e+02 1.927102e+03 6.006474e+02 6.321694e-01
2.207617e+00 3.077010e+02 -6.115616e+02 1.559606e+03 5.709636e+02 6.370250e-01
2.213173e+00 3.151880e+02 -6.155416e+02 1.046135e+03 5.236269e+02 6.450041e-01
2.218728e+00 2.979848e+02 -6.036564e+02 2.058938e+03 6.296881e+02 6.262320e-01
2.224284e+00 3.000284e+02 -6.039956e+02 1.806824e+03 5.888218e+02 6.293135e-01
2.229839e+00 3.040490e+02 -6.023828e+02 1.331061e+03 5.728485e+02 6.372530e-01
2.235395e+00 3.025134e+02 -6.033136e+02 1.860800e+03 5.897173e+02 6.333160e-01
2.240951e+00 3.002364e+02 -5.976960e+02 1.386508e+03 5.801071e+02 6.353157e-01
2.246506e+00 2.883600e+02 -5.895444e+02 2.101775e+03 6.506062e+02 6.192114e-01
2.252062e+00 2.847844e+02 -5.856904e+02 2.242183e+03 6.108181e+02 6.193049e-01
2.257617e+00 2.920488e+02 -5.874236e+02 1.424190e+03 5.510668e+02 6.320231e-01
2.263173e+00 2.767080e+02 -5.807180e+02 2.705020e+03 6.658971e+02 6.069607e-01
2.268728e+00 2.704062e+02 -5.750948e+02 3.015411e+03 6.851034e+02 6.002696e-01
2.274284e+00 2.671138e+02 -5.733472e+02 3.103654e+03 6.841970e+02 5.958287e-01
2.279839e+00 2.678474e+02 -5.694960e+02 2.877559e+03 6.916829e+02 5.991710e-01
2.285395e+00 2.768966e+02 -5.739740e+02 2.358222e+03 6.382599e+02 6.120276e-01
2.290951e+00 2.609222e+02 -5.631464e+02 2.973754e+03 6.941608e+02 5.894695e-01
2.296506e+00 2.592676e+02 -5.594088e+02 2.598940e+03 6.622120e+02 5.935859e-01
2.302062e+00 2.650092e+02 -5.624820e+02 2.558470e+03 5.981127e+02 6.037951e-01
2.307617e+00 2.522238e+02 -5.559872e+02 3.264047e+03 6.661948e+02 5.823598e-01
2.313173e+00 2.378924e+02 -5.449564e+02 3.428202e+03 6.617676e+02 5.616938e-01
2.318728e+00 2.476900e+02 -5.472120e+02 3.097474e+03 6.956929e+02 5.782272e-01
2.324284e+00 2.351462e+02 -5.396424e+02 3.549444e+03 6.393022e+02 5.593432e-01
2.329839e+00 2.371220e+02 -5.401584e+02 3.307880e+03 6.534103e+02 5.633308e-01
2.335395e+00 2.371390e+02 -5.386480e+02 2.951642e+03 6.228067e+02 5.701701e-01
2.340951e+00 2.352804e+02 -5.366176e+02 2.927150e+03 6.098315e+02 5.663057e-01
2.346506e+00 2.165326e+02 -5.229480e+02 3.176446e+03 5.897040e+02 5.370635e-01
2.352062e+00 2.232192e+02 -5.249684e+02 3.146107e+03 6.197228e+02 5.472631e-01
2.357617e+00 1.994992e+02 -5.146332e+02 4.018182e+03 6.403563e+02 4.910898e-01
2.363173e+00 2.131316e+02 -5.182808e+02 3.254650e+03 5.761352e+02 5.363870e-01
2.525000e+00 1.210808e+02 -4.374928e+02 2.427438e+03 3.695658e+02 2.994634e-01
